"","year_","ID","capdt","gpsdt","weight","culmen","totalHead","tarsus","wing","thr_width","thr_height","sex","n_by_id","capture_id","delta_weight","delta_time"
"124",2008,127231915,2008-06-10 11:24:00,2008-06-10 10:35:37,104.5,29.3700008392334,56.7099990844727,29.9899997711182,146,NA,NA,1,2,"127231915_2008",NA,NA
"125",2008,127231915,2008-06-10 18:41:00,2008-06-10 18:03:37,109.099998474121,NA,NA,NA,NA,NA,NA,1,2,"127231915_2008",4.59999847412109,26880
"126",2008,127231923,2008-06-13 15:09:00,2008-06-13 15:09:29,94.3000030517578,29.5,57.0499992370605,29.2099990844727,142.5,NA,NA,1,2,"127231923_2008",NA,NA
"127",2008,127231923,2008-06-19 12:42:00,2008-06-19 12:43:29,101,NA,NA,NA,NA,NA,NA,1,2,"127231923_2008",6.69999694824219,509640
"128",2008,127231926,2008-06-14 11:44:00,2008-06-14 11:47:48,111.400001525879,33.2000007629395,60.3199996948242,29.1100006103516,150,NA,NA,1,2,"127231926_2008",NA,NA
"129",2008,127231926,2008-06-15 11:50:00,2008-06-15 12:10:28,106.5,NA,NA,NA,NA,NA,NA,1,2,"127231926_2008",-4.90000152587891,87760
"130",2008,127232016,2008-06-07 10:45:00,2008-06-07 09:59:51,103.099998474121,30.8999996185303,58.2999992370605,29.3999996185303,145,NA,NA,1,2,"127232016_2008",NA,NA
"131",2008,127232016,2008-06-10 01:40:00,2008-06-10 02:06:12,100,NA,NA,NA,NA,NA,NA,1,2,"127232016_2008",-3.09999847412109,230781
"132",2008,198103126,2008-06-16 11:09:00,2008-06-16 11:12:42,92.0999984741211,NA,NA,NA,NA,NA,NA,1,2,"198103126_2008",NA,NA
"133",2009,127231875,2009-06-06 09:45:00,2009-06-06 09:46:41,84,29.1900005340576,55.560001373291,29.4500007629395,142,2.5,26.7999992370605,1,2,"127231875_2009",NA,NA
"134",2009,127231875,2009-06-09 10:15:00,2009-06-09 10:33:09,73.9000015258789,NA,NA,NA,NA,NA,NA,1,2,"127231875_2009",-10.0999984741211,261988
"135",2009,127231878,2009-06-07 10:45:00,2009-06-07 10:55:48,115.199996948242,26.9300003051758,54.1599998474121,29.4599990844727,152,3.5,29.1599998474121,1,3,"127231878_2009",NA,NA
"136",2009,127231878,2009-06-16 11:20:00,2009-06-16 10:45:45,112.699996948242,NA,NA,NA,NA,3.5,36.0999984741211,1,3,"127231878_2009",-2.5,776997
"137",2009,127231878,2009-06-18 10:30:00,2009-06-18 10:59:38,94.0999984741211,NA,NA,NA,NA,3,39.2000007629395,1,3,"127231878_2009",-18.5999984741211,173633
"138",2009,127231882,2009-06-10 11:15:00,2009-06-10 11:28:57,94.8000030517578,28.2099990844727,53.8300018310547,28.6100006103516,138,3.5,29.2999992370605,1,2,"127231882_2009",NA,NA
"139",2009,127231882,2009-06-16 12:40:00,2009-06-16 13:00:21,85.4000015258789,NA,NA,NA,NA,2,25.2000007629395,1,2,"127231882_2009",-9.40000152587891,523884
"140",2009,127231884,2009-06-10 16:30:00,2009-06-10 16:58:54,101.400001525879,29.1100006103516,55.7099990844727,28.7199993133545,141,2.5,31.7000007629395,1,2,"127231884_2009",NA,NA
"141",2009,127231884,2009-06-16 17:35:00,2009-06-16 17:59:21,82.0999984741211,NA,NA,NA,NA,3.5,26.1100006103516,1,2,"127231884_2009",-19.3000030517578,522027
"142",2009,127231886,2009-06-11 15:15:00,2009-06-11 15:42:49,81.8000030517578,28.8500003814697,55.7299995422363,29.2199993133545,145,3.5,32.8499984741211,1,3,"127231886_2009",NA,NA
"143",2009,127231886,2009-06-23 13:20:00,2009-06-23 13:37:55,73.8000030517578,NA,NA,NA,NA,1.5,24.5799999237061,1,3,"127231886_2009",-8,1029306
"144",2009,127231887,2009-06-11 16:15:00,2009-06-11 16:31:44,105.400001525879,29.2099990844727,55.5,27.6800003051758,148,4.5,27.9500007629395,1,3,"127231887_2009",NA,NA
"145",2009,127231887,2009-06-13 22:35:00,2009-06-13 22:55:32,105.300003051758,NA,NA,NA,NA,3.5,37.5999984741211,1,3,"127231887_2009",-0.0999984741210938,195828
"146",2009,127231887,2009-06-15 11:35:00,2009-06-15 11:53:29,101.699996948242,NA,NA,NA,NA,NA,NA,1,3,"127231887_2009",-3.60000610351562,133077
"147",2009,127231973,2009-06-07 19:00:00,2009-06-07 19:16:05,100.099998474121,28.5100002288818,54.8499984741211,30.1000003814697,146,3.40000009536743,34,1,2,"127231973_2009",NA,NA
"148",2009,127232044,2009-05-31 12:22:00,2009-05-31 12:30:11,102.599998474121,27.7199993133545,55.2999992370605,29.1200008392334,141,2.75,30.3999996185303,1,3,"127232044_2009",NA,NA
"149",2009,127232044,2009-06-06 11:30:00,2009-06-05 11:24:15,102.599998474121,NA,NA,NA,NA,3.70000004768372,31,1,3,"127232044_2009",0,428044
"150",2009,127232044,2009-06-15 16:30:00,2009-06-15 16:41:10,97.3000030517578,NA,NA,NA,NA,3,37.939998626709,1,3,"127232044_2009",-5.29999542236328,883015
"151",2009,127232045,2009-05-31 14:56:00,2009-05-31 15:02:10,91.9000015258789,31.4200000762939,59.4599990844727,31,144.5,3.25,30.6700000762939,1,2,"127232045_2009",NA,NA
"152",2009,127232047,2009-05-31 16:04:00,2009-05-31 16:12:43,106.599998474121,29.7600002288818,57.3600006103516,29.1299991607666,146.5,2.75,26.7700004577637,1,2,"127232047_2009",NA,NA
"153",2009,127232047,2009-06-02 14:30:00,2009-06-02 15:17:30,113.599998474121,NA,NA,NA,NA,3.75,33.7000007629395,1,2,"127232047_2009",7,169487
"154",2009,127232059,2009-06-03 10:12:00,2009-06-03 10:11:28,95.9000015258789,27.8899993896484,55.3600006103516,28.5100002288818,141,3.5,29.2999992370605,1,2,"127232059_2009",NA,NA
"155",2009,127232065,2009-06-04 15:30:00,2009-06-04 15:46:04,97.4000015258789,27.5699996948242,54.5999984741211,27.3899993896484,140,3.5,31.7999992370605,1,2,"127232065_2009",NA,NA
"156",2009,127232065,2009-06-08 18:39:00,2009-06-08 18:20:15,79.5999984741211,NA,NA,NA,NA,3.25,32.7000007629395,1,2,"127232065_2009",-17.8000030517578,354851
"157",2009,127232072,2009-06-08 11:25:00,2009-06-08 11:46:29,117.5,29.6599998474121,57.0999984741211,29.2199993133545,144,4,43.3899993896484,1,2,"127232072_2009",NA,NA
"158",2009,127232072,2009-06-16 15:55:00,2009-06-16 16:06:32,104.599998474121,NA,NA,NA,NA,3.75,36.8699989318848,1,2,"127232072_2009",-12.9000015258789,706803
